date,ARA_NDMI,BSU_NDMI,WEEDS_NDMI,ARA_GNDVI,BSU_GNDVI,WEEDS_GNDVI
2022-01-03,,,,,,
2022-01-08,0.01129349134862423,0.11830981075763702,0.17461854964494705,0.01643270254135132,0.10638812184333801,0.03601491451263428
2022-01-13,,,,,,
2022-01-18,-0.007384015247225761,-0.05686974339187145,0.17311904020607471,-0.022702783346176147,-0.038228750228881836,0.047032952308654785
2022-01-23,-0.020029927138239145,-0.09812697442248464,-0.05555545212700963,0.024126417934894562,0.04910869151353836,0.017169363796710968
2022-01-28,,,,,,
2022-02-02,0.008601827546954155,0.0035654036328196526,0.1033035647124052,0.010326743125915527,0.020105794072151184,0.032092928886413574
2022-02-07,,,,,,
2022-02-12,,,,,,
2022-02-17,0.05726626142859459,0.04358145594596863,0.0859653614461422,0.04365144670009613,0.04432101547718048,0.018248826265335083
2022-02-22,0.07957604108378291,0.06455713091418147,0.07596739707514644,0.06281842291355133,0.0603720098733902,0.014906123280525208
2022-02-27,,,,,,
2022-03-04,0.11232899874448776,0.09014657884836197,0.05289895087480545,0.09174492955207825,0.07598790526390076,-0.0031301379203796387
2022-03-09,,,,,,
2022-03-14,0.11429963260889053,0.10903342813253403,0.027505189180374146,0.08831906318664551,0.08460921049118042,-0.013589859008789062
2022-03-19,,,,,,
2022-03-24,,,,,,
2022-03-29,0.012188754975795746,0.06932996958494186,0.06556909531354904,-2.4378299713134766e-05,0.04388350248336792,0.020456761121749878
2022-04-03,,,,,,
2022-04-08,,,,,,
2022-04-13,0.018406599760055542,0.0329614132642746,0.04774381220340729,0.010584235191345215,0.01878497004508972,0.026814907789230347
2022-04-18,,,,,,
2022-04-23,0.016971394419670105,0.021182790398597717,0.10976837575435638,0.0030823051929473877,-0.0037266910076141357,0.05805167555809021
2022-04-28,,,,,,
2022-05-03,0.007195800542831421,0.0064287930727005005,0.060603752732276917,-0.012272298336029053,-0.034715160727500916,0.038321733474731445
2022-05-08,-0.008920103311538696,-0.031834982335567474,0.09007897228002548,-0.016185760498046875,-0.03897184133529663,0.04067376255989075
2022-05-13,-0.021242842078208923,-0.059415481984615326,0.09210000932216644,-0.02497720718383789,-0.06580573320388794,0.04308736324310303
2022-05-18,-0.026255160570144653,-0.06146063283085823,0.0764768049120903,-0.029008835554122925,-0.06170046329498291,0.027024388313293457
2022-05-23,-0.03563868999481201,-0.08436474576592445,0.08588190376758575,-0.019713878631591797,-0.059666842222213745,0.031222939491271973
2022-05-28,,,,,,
2022-06-07,-0.012792661786079407,-0.022370971739292145,0.00430569052696228,-0.007829710841178894,-0.01994214951992035,0.06780935823917389
2022-06-12,-0.0929134301841259,-0.10433486476540565,0.01893705129623413,-0.05794969201087952,-0.0808834433555603,0.003735363483428955
2022-06-17,,,,,,
2022-06-22,,,,,,
2022-06-27,-0.027514435350894928,-0.019169852137565613,-0.04198199510574341,-0.005459025502204895,-0.0027256757020950317,-0.010510027408599854
2022-07-02,-0.04705391079187393,-0.08287349343299866,-0.041905477643013,0.01756337285041809,-0.02180144190788269,-0.08102855086326599
2022-07-07,-0.018509507179260254,-0.02810753881931305,-0.011933654546737671,-0.05967113375663757,-0.06755635142326355,-0.0761384665966034
